runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_LMDirichlet_10,50,50000,26664,5666,0.0730,0.0249,0.1606,0.2001,0.4340,0.5453,0.2564,0.1546,0.1038,0.0664,0.0284,0.0133,0.0000,0.0000,0.0000,0.0000,0.3160,0.2720,0.2707,0.2650,0.2507,0.2006,0.1744,0.1484,0.1133,0.2389,0.2186,
textEN_LMDirichlet_11,50,50000,26664,7423,0.0977,0.0430,0.1990,0.2482,0.5139,0.5974,0.3139,0.2307,0.1452,0.0756,0.0157,0.0051,0.0000,0.0000,0.0000,0.0000,0.3880,0.4000,0.3853,0.3730,0.3593,0.2880,0.2471,0.1939,0.1485,0.3259,0.2872,
textEN_LMDirichlet_12,50,50000,26664,7945,0.1074,0.0481,0.2111,0.2651,0.5687,0.6435,0.3267,0.2497,0.1743,0.0928,0.0315,0.0144,0.0000,0.0000,0.0000,0.0000,0.4000,0.4220,0.3867,0.3660,0.3493,0.2888,0.2534,0.2053,0.1589,0.3535,0.3061,
textEN_bm25_13,50,50000,26664,9695,0.1896,0.1024,0.2789,0.3163,0.8047,0.8632,0.5017,0.4002,0.2903,0.1857,0.1231,0.0662,0.0093,0.0056,0.0000,0.0000,0.7040,0.6720,0.6387,0.6090,0.5833,0.4806,0.4037,0.2796,0.1939,0.6153,0.3716,
textEN_bm25_14,50,50000,26664,10768,0.2010,0.1538,0.3067,0.3714,0.8601,0.9033,0.5674,0.4265,0.3063,0.1949,0.1091,0.0360,0.0000,0.0000,0.0000,0.0000,0.7640,0.7280,0.6960,0.6650,0.6420,0.5220,0.4338,0.3082,0.2154,0.6833,0.4136,
textEN_bm25_15,50,50000,26664,10501,0.1958,0.1489,0.2990,0.3626,0.8592,0.9013,0.5513,0.4246,0.2976,0.1964,0.0971,0.0280,0.0068,0.0000,0.0000,0.0000,0.7320,0.7260,0.6773,0.6500,0.6140,0.5168,0.4275,0.3005,0.2100,0.6764,0.4037,
textEN_bm25_16,50,50000,26664,8244,0.1166,0.0611,0.2207,0.2788,0.6086,0.7189,0.3438,0.2552,0.1727,0.0978,0.0519,0.0117,0.0000,0.0000,0.0000,0.0000,0.4520,0.4640,0.4427,0.4110,0.3887,0.3328,0.2860,0.2230,0.1649,0.3941,0.3148,
textEN_bm25_18,50,50000,26664,7522,0.1392,0.0723,0.2279,0.2487,0.7959,0.8422,0.4518,0.3080,0.1897,0.0956,0.0514,0.0102,0.0000,0.0000,0.0000,0.0000,0.6720,0.6260,0.6053,0.5800,0.5447,0.4274,0.3504,0.2362,0.1504,0.5810,0.2782,
textEN_bm25_19,50,50000,26664,8415,0.1619,0.0800,0.2531,0.2842,0.8098,0.8505,0.4720,0.3312,0.2452,0.1643,0.0705,0.0387,0.0082,0.0064,0.0000,0.0000,0.6680,0.6300,0.6093,0.5870,0.5527,0.4384,0.3699,0.2535,0.1683,0.5850,0.3208,
textEN_bm25_20,50,50000,26664,9602,0.1641,0.1202,0.2706,0.3311,0.8438,0.8922,0.5016,0.3587,0.2372,0.1312,0.0737,0.0139,0.0000,0.0000,0.0000,0.0000,0.7080,0.6760,0.6507,0.6360,0.5987,0.4656,0.3815,0.2724,0.1920,0.6396,0.3627,
