Rank_Bins,Non_Relevant_Percent,Relevant_Percent,Highly_Relevant_Percent,Non_Relevant_Count,Relevant_Count,Highly_Relevant_Count
281-290,35.521235521235525,21.62162162162162,42.857142857142854,92,56,111
291-300,41.19850187265918,20.59925093632959,38.20224719101123,110,55,102
301-310,32.41106719367589,21.73913043478261,45.8498023715415,82,55,116
311-320,34.090909090909086,23.636363636363637,42.27272727272727,75,52,93
321-330,37.76824034334764,26.609442060085836,35.622317596566525,88,62,83
331-340,37.60683760683761,20.51282051282051,41.88034188034188,88,48,98
341-350,41.43426294820717,19.12350597609562,39.44223107569721,104,48,99
351-360,42.731277533039645,14.977973568281937,42.290748898678416,97,34,96
361-370,41.66666666666667,17.982456140350877,40.35087719298245,95,41,92
371-380,43.36283185840708,20.353982300884958,36.283185840707965,98,46,82
381-390,41.75257731958763,24.742268041237114,33.50515463917525,81,48,65
391-400,42.201834862385326,21.100917431192663,36.69724770642202,92,46,80
401-410,37.79904306220095,24.401913875598087,37.79904306220095,79,51,79
411-420,37.56345177664975,22.84263959390863,39.59390862944163,74,45,78
421-430,42.02127659574468,22.872340425531913,35.1063829787234,79,43,66
431-440,42.92929292929293,19.696969696969695,37.37373737373738,85,39,74
441-450,35.67567567567568,26.486486486486488,37.83783783783784,66,49,70
451-460,44.623655913978496,23.655913978494624,31.72043010752688,83,44,59
461-470,38.38383838383838,21.71717171717172,39.8989898989899,76,43,79
471-480,36.04651162790697,23.837209302325583,40.116279069767444,62,41,69
481-490,39.77900552486188,16.574585635359114,43.646408839779006,72,30,79
491-500,41.37931034482759,18.96551724137931,39.6551724137931,72,33,69
501-510,37.07865168539326,22.47191011235955,40.44943820224719,66,40,72
511-520,37.12574850299401,21.55688622754491,41.31736526946108,62,36,69
521-530,40.21739130434783,27.173913043478258,32.608695652173914,74,50,60
531-540,40.25974025974026,24.675324675324674,35.064935064935064,62,38,54
541-550,44.6927374301676,26.256983240223462,29.05027932960894,80,47,52
551-560,35.064935064935064,27.92207792207792,37.01298701298701,54,43,57
561-570,38.036809815950924,19.631901840490798,42.331288343558285,62,32,69
571-580,51.973684210526315,19.078947368421055,28.947368421052634,79,29,44
581-590,39.33333333333333,27.333333333333332,33.33333333333333,59,41,50
591-600,44.274809160305345,17.557251908396946,38.16793893129771,58,23,50
601-610,45.27027027027027,19.594594594594593,35.13513513513514,67,29,52
611-620,46.09929078014184,24.113475177304963,29.78723404255319,65,34,42
621-630,50.0,22.666666666666664,27.333333333333332,75,34,41
631-640,48.529411764705884,22.794117647058822,28.676470588235293,66,31,39
641-650,38.095238095238095,27.89115646258503,34.01360544217687,56,41,50
651-660,40.44117647058824,25.735294117647058,33.82352941176471,55,35,46
661-670,41.17647058823529,22.794117647058822,36.029411764705884,56,31,49
671-680,46.82539682539682,25.396825396825395,27.77777777777778,59,32,35
681-690,50.0,26.811594202898554,23.18840579710145,69,37,32
691-700,52.63157894736842,18.796992481203006,28.57142857142857,70,25,38
701-710,42.10526315789473,21.052631578947366,36.84210526315789,48,24,42
711-720,48.091603053435115,25.954198473282442,25.954198473282442,63,34,34
721-730,45.90163934426229,31.147540983606557,22.950819672131146,56,38,28
731-740,47.16981132075472,24.528301886792452,28.30188679245283,50,26,30
741-750,44.62809917355372,23.96694214876033,31.40495867768595,54,29,38
751-760,52.03252032520326,16.260162601626014,31.70731707317073,64,20,39
761-770,54.78260869565217,15.65217391304348,29.565217391304348,63,18,34
771-780,43.51851851851852,29.629629629629626,26.851851851851855,47,32,29
781-790,50.505050505050505,21.21212121212121,28.28282828282828,50,21,28
791-800,47.78761061946903,26.548672566371685,25.663716814159294,54,30,29
801-810,48.07692307692308,24.03846153846154,27.884615384615387,50,25,29
811-820,47.58064516129033,20.161290322580644,32.25806451612903,59,25,40
821-830,55.04587155963303,19.26605504587156,25.688073394495415,60,21,28
831-840,49.51456310679612,17.475728155339805,33.00970873786408,51,18,34
841-850,47.41379310344828,21.551724137931032,31.03448275862069,55,25,36
851-860,44.85981308411215,22.429906542056074,32.71028037383177,48,24,35
861-870,49.532710280373834,18.69158878504673,31.775700934579437,53,20,34
871-880,57.407407407407405,21.296296296296298,21.296296296296298,62,23,23
881-890,45.45454545454545,26.36363636363636,28.18181818181818,50,29,31
891-900,43.56435643564357,24.752475247524753,31.683168316831683,44,25,32
901-910,43.15789473684211,24.210526315789473,32.631578947368425,41,23,31
911-920,57.27272727272727,20.909090909090907,21.818181818181817,63,23,24
921-930,48.51485148514851,19.801980198019802,31.683168316831683,49,20,32
931-940,54.166666666666664,19.791666666666664,26.041666666666668,52,19,25
941-950,45.05494505494506,23.076923076923077,31.868131868131865,41,21,29
951-960,60.67415730337079,17.97752808988764,21.34831460674157,54,16,19
961-970,60.86956521739131,18.478260869565215,20.652173913043477,56,17,19
971-980,54.761904761904766,15.476190476190476,29.761904761904763,46,13,25
981-990,46.391752577319586,28.865979381443296,24.742268041237114,45,28,24
991-1000,43.373493975903614,26.506024096385545,30.120481927710845,36,22,25
